,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"mRNA, clone RES4-24A, exon 1, 2, 3, 4",AB000464_at,0.480218392,0.431489228,1.374847876,1.123443663,-0.302686382,0.658718062,-0.040845839,0.799834678,0.846710362,-0.366094966,0.501412067,0.758019284,0.677430493,0.375280068,0.145089153,0.420267809,0.515210248,0.852668737,0.773713779,0.500512721,-0.375475876,0.777149692,0.911410151,0.867678562,0.224703645,0.660512662,1.030982788,0.476802735,0.172123079,0.487994873,0.809312112,0.880633944,0.654254645,0.580710865,0.59033282,0.099461037,0.533026236,-0.375864864,0.998737767,0.956823414,-0.588564364,0.253185028,0.227200879,0.040023441,0.156968725,-0.167149324,0.446710694,0.109254424,0.440062084,0.559155765,0.624598475,-0.425379403,0.645024001,0.676837736,0.050912389,0.467870374,0.506103205,0.813528561,-0.555199468,0.692630076,1.23233286,0.457046081,0.562740033,0.507102472,0.616632196,0.502048187,0.444354181,0.088583595,-0.329596999,0.207756002,0.512651973,0.703484821
28,"Zinc finger protein, clone RES4-26",AB000468_at,-0.204929973,-0.538430978,-0.307032735,-0.462095307,0.19415029,-1.105250053,-0.290037942,-0.55550891,0.416841654,-0.431299963,1.60618617,-1.01377406,0.652409674,0.445197432,0.89166127,-0.166211507,-0.180061799,0.695820004,0.415085407,0.192039698,0.913965465,1.193837698,-0.312869125,0.18865253,-1.217174178,-0.308172678,-1.216362346,-0.066058628,0.461863094,-1.272406126,-1.136128491,-1.228103603,-0.308694143,-1.314257825,-1.214385383,0.082224799,-0.463434979,0.216400336,-1.225212914,-1.254586207,0.766694409,-0.34663544,-0.345662376,0.432028862,-0.201796139,-1.120330201,0.718420873,1.056234654,-1.304079068,-0.119256124,-1.227021204,-0.246512142,1.374057904,-0.082862773,-0.046059326,-0.441824769,-0.406691319,-1.224099054,0.019293701,-0.077628842,-0.436213738,-0.249085925,0.085483473,-0.673746901,-0.238097161,0.937889032,1.459729484,0.244614223,0.262620234,-1.041303633,0.366292955,0.758882983
29,Prostate differentiation factor mRNA,AB000584_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.068016263,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-0.83688655,-1.187118125,-1.434645277,-1.16368414,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.080072624,-1.365587283,0.663425824,1.334092767,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.150715977,-1.054270935,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-0.556453445,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
30,GLIA MATURATION FACTOR BETA,AB001106_at,-0.262014785,-0.059269013,0.135807493,-0.500973095,0.218612217,-0.91027689,-0.383097567,-0.362394888,-0.161442669,0.076559807,0.169826628,-0.223936541,0.47378371,-0.501316733,-0.422497655,0.091197137,-0.727732066,-0.607715004,-0.008154521,0.169212632,0.789984744,-0.108993305,0.045586084,-0.359475617,-0.735480771,-0.764853744,-0.168839954,-0.466161594,-0.340739047,-0.19424232,-0.155913594,-0.440250239,0.070019262,-0.40278411,0.546745493,-0.781888154,-0.532594376,0.015060389,-1.13021865,-0.470125979,-0.255883001,-0.383755084,-0.633060732,-0.048831197,-0.474846871,-0.937400065,-0.697697437,0.435819532,-0.457220022,-0.212689814,-0.409999967,0.00927573,0.499211429,-0.653929692,-0.464557587,-0.780071852,-0.326772124,-1.224099054,-0.266299393,-0.213008142,0.196711862,-0.885199605,-0.291724858,-0.081863068,-0.27327612,0.152894743,0.240695545,-0.346608652,0.150706343,-1.041303633,0.065065123,0.708661799
31,AQP3 Aquaporin 3,AB001325_at,0.806026524,0.62266467,1.14272521,0.82610532,0.102075128,1.215044829,1.063132697,1.24408961,1.046678985,0.698562575,0.820272262,0.791142005,0.649585193,0.833449943,-0.224076748,0.621259397,0.223811067,0.540197658,0.930501147,0.249047139,0.421300812,0.851894114,0.805225604,0.524870937,0.744130768,0.465478671,1.335111536,0.747714968,0.267378979,-0.13384487,0.811963153,0.852000449,1.098558074,0.760654861,1.163169393,0.507753305,0.698226108,1.025397467,0.885176328,0.316455811,0.316966809,0.496894145,0.869107887,0.738335566,0.804020835,0.441298132,0.819518265,0.44480853,1.216440495,0.895511899,0.965995254,0.147968373,0.742350256,0.398977393,0.665921696,0.985857822,0.629477936,1.217030587,0.63941072,0.818309866,1.210179575,0.369442384,0.809322956,0.961833342,0.616632196,0.688959552,0.653213285,-0.026202467,0.243187552,0.387432501,0.328180714,0.569552475
32,KIAA0317 gene,AB002315_at,-0.998142531,-0.297773068,-0.467180455,-0.564485166,-0.830143214,-1.192833271,-1.33742052,-1.01370717,-0.283757953,-1.185748659,-0.109953846,-1.01377406,-0.588555925,-0.950019392,-1.015374351,-1.0695677,-0.475053262,-0.623598266,-1.207606614,-0.584719573,-0.552641045,-1.111595482,-1.187118125,-1.123623923,-0.876084061,-1.126090163,-1.216362346,-0.604851112,-0.19900377,0.285903437,-1.228487646,-0.346951822,-0.993643878,-1.049603265,-1.214385383,-0.381995576,-0.971203957,-0.459731948,-0.640961969,-1.254586207,-1.145432169,-0.226153547,-0.617674361,-0.246167076,-0.388728769,-1.120330201,-0.619639947,-0.524122312,-1.304079068,-0.056268149,0.084711601,-0.339480281,-0.165247633,-0.35165802,-0.706391361,-0.889987813,-1.038237838,-1.224099054,-0.937933708,-1.110465113,-1.216220492,-1.276470919,-1.420360839,-1.481627658,-1.143157921,-0.462598283,-0.844192557,-0.383699466,-0.069956141,-1.013142071,-0.698423608,-0.492307744
33,"KIAA0320 gene, partial cds",AB002318_at,0.753072196,0.845851874,0.789714065,1.009747225,-0.379775777,0.763952306,0.819111425,0.938483996,0.776451926,0.881285902,1.213336867,0.525247786,0.464524583,0.737245592,0.268184844,0.764581409,0.64596933,0.222755749,0.677264407,0.892163433,0.887235543,0.544836512,0.222159875,0.955291969,0.436770068,0.650118749,1.513181116,1.113036101,-1.063445157,0.646190785,0.820743038,0.674611246,0.773049825,1.05654615,0.654281748,0.844073454,0.405780874,0.81194406,1.061380717,0.29614479,0.178851781,0.918703046,0.475389842,0.547443402,0.098203722,0.762038883,0.759396391,0.998417292,1.430892167,0.624452541,0.709164421,-0.001732315,0.778991509,0.638126229,0.894839736,0.81357007,1.010706217,1.097985165,0.275643331,0.008943549,1.276194255,0.032292872,0.735179845,0.257139867,0.935452602,0.507718876,0.312568217,0.762797996,0.67018616,0.861696496,0.822805788,0.948856854
34,KIAA0384 gene,AB002382_at,0.141039256,-0.666650125,-0.099111341,0.14071338,0.125531152,0.313287134,-0.192168235,0.76308284,-0.277307085,-0.185392868,0.278453598,0.156764212,0.19903831,0.031402072,0.130635339,-0.495963022,-0.10832204,0.05729268,-0.290095123,0.31364211,-0.119345107,0.864555185,-0.636961238,0.599456509,0.12181389,-0.096851772,0.102773255,0.378503877,-0.52352811,-1.108198517,-0.051674996,-1.075163754,0.38577608,0.545555838,0.386484213,0.206040813,0.204251413,0.791269386,0.629265471,0.457156644,0.162689363,-0.738064759,-0.873276572,-1.072448275,-0.503830995,0.132623186,-0.060423162,0.095981167,0.386501472,-0.713231881,-0.153840096,-0.193094511,0.871875402,0.103850166,0.353556662,0.425143037,0.166809455,0.372299849,-0.597245395,-0.782428311,0.196711862,0.338650944,0.706552899,0.370263045,-0.606601499,-0.058211812,-1.055753232,-0.362307641,-0.022572815,-0.599490241,-0.872827413,-0.411664844
35,Hunc18b2,AB002559_at,0.428974668,1.116290876,0.68086542,0.812339682,0.555438411,0.941274444,0.842681867,1.072919027,0.588318169,1.049180569,0.443953192,0.931381199,0.43011991,0.668299886,0.618853318,0.386018552,1.245723154,0.936577662,0.607048026,0.496028419,-0.752903014,1.465272862,0.735336058,0.503542932,0.524814154,0.421847232,1.080793912,0.755145726,0.982355442,1.377052891,1.244418546,1.045987234,0.760926565,1.299942694,1.021215975,1.480952299,1.23579895,0.837962218,1.047244878,1.010294796,1.062348054,0.87049146,1.495404079,1.295998955,0.742696815,0.904750373,0.589830426,0.26429152,0.889140573,1.338040416,1.320229418,0.871411193,1.119875611,1.653029671,1.036354594,1.267344406,1.361282381,2.069700437,1.313068962,1.820040862,1.279567599,1.396214761,1.355157317,1.462578568,0.736785796,1.052634993,0.395519276,0.697520831,0.46938147,1.218678254,0.722193994,0.478654298
36,Proteasome subunit p44.5,AB003102_at,0.137744558,0.411626482,0.468775754,0.366050541,0.478800492,0.681707592,0.081226292,0.749015063,0.364646564,0.161273921,1.092067105,0.057473057,0.598131873,0.42594661,0.602031666,0.110904011,0.538593797,0.504800244,-0.024374378,0.486334104,0.028759358,0.473048372,0.404070096,0.477048568,0.027463416,-0.055837493,0.488181276,0.198935527,0.365747098,0.315398813,0.554711985,0.182442377,0.269243987,0.441501227,0.048117464,0.366931471,0.770582113,0.334070694,0.165864696,0.345246276,0.559401669,0.696763765,0.399131321,-0.224047315,0.280890994,0.079146574,0.156057938,0.765783111,0.440062084,0.389964935,0.559617485,-0.693013524,0.966486442,0.071400292,0.191264756,0.276649935,0.350799785,0.114346436,-0.183636346,-0.100556663,0.277162837,0.130688138,0.222242308,0.341426841,0.159419985,0.83301493,0.480445073,0.515533349,0.359556297,-0.564199903,0.234819738,0.40113815
37,Proteasome subunit p27,AB003177_at,0.196844215,0.45990224,0.612168054,0.36323106,0.734000798,0.416152662,0.534335018,0.29691238,0.742810236,0.266908127,0.950935501,-0.365408764,0.31250996,0.456556073,0.237210213,0.390368871,0.001342493,-0.004905453,-0.237465821,0.524428863,0.305557522,0.399073712,0.163772121,0.73268807,-0.028632855,0.402276281,0.780498192,0.086658992,0.650717483,0.501596308,0.297748691,-0.443236805,0.322538232,0.347234593,0.565022005,0.33864492,0.624495979,0.304570525,-0.192416487,0.971623513,0.744405859,0.716233951,0.713319292,0.351996838,0.879832031,-0.025330051,-0.071762801,0.579787862,0.440062084,0.266877775,0.057777532,0.399097851,0.387914071,0.738520604,0.089293963,0.459797545,0.250998927,-0.160831509,-0.37805514,-0.302885846,0.689638045,0.276574024,0.358951869,0.558559732,0.238859924,0.86713442,0.215422708,0.7427948,0.735305191,0.181723503,0.494191887,0.523968377
38,Cdc7-related kinase,AB003698_at,-1.182539966,-0.81217577,-0.171884274,-1.008045985,-0.560429137,-0.91027689,-1.249686888,-1.335413943,-0.312298979,-0.527679272,-0.188560253,-1.01377406,0.042848487,-0.154052431,-0.65547346,-1.055902612,-0.13209352,-0.628951898,-0.965992276,-0.383024956,0.095945481,-1.111595482,-0.626300596,-0.116956681,-1.217174178,-1.094447658,-0.83988241,-1.342000564,-1.063445157,-1.108198517,-1.228487646,-1.404189209,-1.434727011,-1.141884114,-0.465445633,-0.910546576,-0.954177228,-1.299149559,-1.097993856,-0.721937082,-0.12060591,-0.673986474,-0.549021177,-0.30391729,-0.706465897,-1.120330201,-0.818673334,0.260612399,-0.415916535,-1.280712643,-1.227021204,-0.990861792,-0.984463028,-0.3332612,-0.737396523,-0.175445797,-0.835210687,-1.103673466,-0.434919688,-0.838195057,-1.216220492,-1.31109581,-0.757393093,-0.897888082,-1.04698215,-0.707137898,-1.183311149,-0.52152465,-1.055520182,-1.041303633,-1.21065485,-1.29024248
39,"PKU-alpha, partial cds",AB004884_at,0.789253063,0.625444531,0.591133344,0.66405604,0.768183752,0.336195448,0.740703466,0.495857076,0.556393098,0.820007608,0.900617049,0.366597534,0.98313174,0.720491052,0.529253712,0.120604014,0.693396315,0.549628204,0.450449941,0.824232061,0.371030623,1.176778585,0.509623758,0.362754063,0.681338027,0.64312348,1.16308325,0.839817478,0.412221071,0.644571603,0.422603983,0.418169415,0.568472313,0.849159105,0.171586542,0.727900613,0.613807882,0.730894481,0.228797453,0.426734489,0.580527514,0.692610501,0.439688207,0.090515437,0.962582289,0.592724932,0.699210836,0.999989289,0.712989805,0.356717757,0.706917334,-0.079934028,0.599632504,-0.080562276,0.179089201,0.307453262,0.172648401,0.160310064,0.15513103,0.151460241,0.595100437,0.263320407,0.806735798,0.823882941,0.044969009,0.397936961,0.837137532,0.518359263,0.705671901,0.692378367,0.434890131,0.249067959
40,WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,AC000061_cds2_at,-0.155764732,-0.650551255,0.200944092,0.505539306,-0.488009036,-0.311259238,0.765403778,-0.533115051,-0.675395889,-0.305248868,-0.469495549,0.184938009,-1.318316435,-0.365177733,-0.734686575,-0.163593206,-0.29876464,-0.347349522,0.131192133,-0.665021801,-1.045769178,0.191967786,-0.33996556,0.201336909,-0.472751649,-0.217128102,0.805032436,-0.286315129,-1.063445157,-0.010421925,-1.228487646,-0.434307157,0.20128644,-0.248426577,-0.430810859,-0.158541189,-1.31181697,-0.040468849,-1.225212914,0.793487276,-0.523465373,-0.549764448,-0.345662376,-0.324003992,-0.363147017,-0.469650661,-0.437681694,-1.086040453,0.520463498,-0.252497957,-0.621983367,-0.990861792,-0.436828447,-1.034966109,0.102641891,-0.601164067,0.005057884,-0.41565081,-0.344723565,0.071852977,0.455030763,-1.276470919,-0.356773003,-0.027214967,-1.143157921,-0.416439999,-1.183311149,-1.17205008,-0.287798258,-0.109222811,-1.103614663,0.237051602
41,WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22,AC000064_cds1_at,-0.507534421,0.222342035,-0.104789767,-0.054867534,-0.11096597,-0.851393018,0.142234547,0.164588608,-0.482537678,-0.170341895,-0.629297062,0.20145513,-0.362518309,0.284543378,-0.160783511,-0.332164449,-0.446472449,-0.165816774,-0.425597233,-0.322099318,-0.13590816,-0.019825441,-0.016690491,0.593294089,-0.368717511,-0.610322604,0.796572116,-0.029801812,0.018094978,0.114053361,0.304036499,0.054019742,0.082955911,0.29994133,0.752229072,-0.304487913,0.084801926,0.316487302,-0.483022716,0.5002882,-0.849966075,-0.411747384,-0.207692078,-0.731380553,-0.845426865,-0.535164487,-0.377340923,-0.226101926,0.134608313,0.265374852,0.392112538,-0.693013524,0.236324518,0.216558571,-0.185396941,-0.625504466,0.128000564,0.010102493,-0.539912325,0.063514635,0.614114249,-0.243799553,-0.129371231,0.588531294,0.062571284,-0.206335093,-0.121726778,-0.068174462,-0.312143659,-0.828708038,-0.645047205,-0.925041354
42,WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22,AC002073_cds1_at,-1.069969494,-0.630836219,-1.423498758,-1.3627031,-0.892954371,-1.192833271,-1.33742052,-1.326464215,-1.424392336,-1.185748659,-0.488454143,-1.01377406,-1.150424448,-1.356060601,-1.264467639,-1.357386275,-0.575328136,-0.97441076,-1.207606614,-1.518499011,-1.045769178,-0.80927775,-1.187118125,-0.489532909,-0.365081918,-1.24631406,-1.216362346,0.269494718,-1.063445157,-1.043142627,-1.228487646,-0.585743212,-0.230955961,-0.855954047,-0.602628072,-0.578749274,-0.489125516,-1.299149559,-0.791718196,-1.254586207,-1.145432169,-0.529281101,-0.372718796,-1.072448275,-1.06247623,-0.519644092,-0.242742827,-0.870881949,-0.4128195,-1.280712643,-1.227021204,-0.990861792,-0.409566604,-0.917899906,-0.737396523,-0.956863242,-1.058009908,-0.160831509,-1.098814617,-0.831043457,0.317298453,-0.863666304,-0.729936859,-1.481627658,-1.143157921,-0.98157303,-1.024547461,-1.362381334,0.275340022,-1.041303633,0.615056179,0.277610477
43,"COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence",AC002115_cds1_at,1.41145894,2.115276153,1.833157561,1.793425678,1.899868529,1.879666112,1.617439018,1.694816705,1.807263328,1.96745794,1.961232138,2.382936272,1.588126591,1.766150414,1.996737156,1.917474884,1.769014186,1.928000374,1.762507556,1.949563107,1.293472285,1.729404099,1.898461022,1.835791403,2.081074969,1.971282591,1.929232796,1.662815482,2.204537024,2.100611584,1.757366038,1.122201935,1.238459437,1.967002345,1.785818092,1.743661204,1.668215407,1.821734705,1.897356689,1.755938806,2.13991033,1.513184356,1.941023944,2.024787757,1.93514374,1.305803036,2.05821004,1.80523098,1.897917673,1.46553803,1.622304856,2.935333527,1.65128454,1.986337841,2.003705345,1.59330796,2.094118974,1.921877464,1.465994992,2.097799813,1.875745607,1.927691115,2.014297556,0.977706991,2.135997777,2.453787723,1.412118605,1.783637714,1.56611812,1.863830818,1.507186464,1.723680999
44,"F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence",AC002115_rna2_at,-0.244258717,-0.153313121,0.195586978,-0.369962488,0.236144532,0.147529299,-0.304909129,-0.406126288,0.162690431,-0.109711502,0.03126576,0.20145513,0.334359547,0.000928827,0.244347046,0.027327924,-0.318620855,0.080570118,-0.472515659,0.31605668,-0.821302652,-0.433240849,-0.697824142,0.474708415,0.273029852,-0.058347869,-1.216362346,0.329630046,0.596594244,0.024648431,0.144871196,0.396416798,-0.178926947,-0.589025799,-1.214385383,0.24392178,0.303889635,-0.495605701,-0.152335877,-1.254586207,0.342308265,-0.034223188,0.191284275,0.367424523,0.391747715,-0.426780447,0.242415035,0.023154957,-0.00790912,0.065163596,-1.20879919,0.001032829,0.040103427,0.092529286,0.504894416,-0.020564494,0.493517447,0.388340065,0.07292328,-0.254939332,0.017235422,0.028429314,0.208076488,-1.481627658,-0.692893903,0.361255121,0.156388272,0.296171738,-0.058791938,0.042744207,-0.100312943,-0.16145775
45,"Hypothetical human serine-threonine protein kinase R31240_1 gene extracted from Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence",AD000092_cds1_at,-0.752509418,-1.335163026,-1.348709475,0.154985912,-1.373415231,0.083366252,-1.33742052,-0.767622732,-0.930837301,-0.905764443,-0.611526998,0.546466315,-1.234370441,-1.152308934,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,0.198716118,0.374346426,-0.17786192,-0.157844117,-1.217174178,-1.24631406,-1.216362346,-1.385727619,0.417869915,0.093778168,-0.728181991,-0.534543059,-1.434727011,-0.226436982,0.402696591,-1.365587283,0.111034958,-1.299149559,-1.225212914,0.961473214,-0.480904109,-0.840785458,-1.196632989,-1.072448275,-0.170658501,-1.120330201,-0.361861264,-0.200616802,-1.304079068,0.014593393,-0.566478203,-0.113933363,-1.443618533,-0.551850818,-1.156389118,-1.292206597,0.018735589,-1.224099054,-1.098814617,-1.110465113,-1.216220492,0.263320407,-0.895428244,0.907873945,0.052554046,-1.018678067,-0.501824063,0.116150047,-1.422468728,-1.041303633,-0.866245429,-1.29024248
46,RAS-RELATED PROTEIN RAB-11A,AF000231_at,-0.936940907,-1.335163026,-1.423498758,-1.3627031,-0.757242367,-1.192833271,-0.989067353,-1.335413943,-1.191269419,-1.185748659,-1.226061567,-1.01377406,-0.371490539,-1.356060601,-1.297100591,-0.477500058,-1.510219388,-1.179975696,-0.749862116,0.033994451,-0.40196182,-1.111595482,-1.187118125,-0.606337676,-1.217174178,-0.874282908,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.165075873,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-0.783843562,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.015048716,-0.792850391,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-0.742504258,-1.110465113,-1.216220492,-1.31109581,-1.082861184,-1.481627658,-1.143157921,-0.785134322,-0.825502213,-0.531126488,-0.846232631,-1.041303633,-1.21065485,-0.848434247
47,"TTF-I interacting peptide 20 mRNA, partial cds",AF000560_at,-0.032347929,-1.335163026,-0.27410224,-0.27768058,-0.647321937,-0.246686888,-0.15575928,0.464797622,-0.513176312,-1.185748659,-1.030321583,-1.01377406,0.021944746,0.093199641,-1.339686102,-1.357386275,-1.510219388,-0.004905453,-1.207606614,-1.136851265,-1.045769178,-0.41073062,-0.404951862,-0.082071045,-1.217174178,-1.24631406,-1.216362346,0.547934971,-0.345002728,-0.396038814,0.009384053,-0.640086392,-0.49784768,-0.687460393,-0.221483768,0.195977874,-1.31181697,-0.807635802,0.121354456,0.055339625,0.305035909,-1.24638365,-1.196632989,-0.824583437,-1.06247623,-0.001110296,-1.030168368,-0.805377334,-1.304079068,-1.280712643,-1.122738228,-0.990861792,0.471215663,0.425671829,-1.156389118,-1.292206597,0.546945582,0.430300331,-0.60806249,-1.110465113,-0.588208161,-1.31109581,-0.552633977,0.234120362,-0.174745065,-1.018678067,0.301872627,-1.362381334,0.12109616,-0.329911491,-1.21065485,-1.29024248
